Distance_(mm)	Gray_Value
0.0000	159.0000
0.0279	158.8392
0.0559	157.3839
0.0838	157.4909
0.1117	157.9646
0.1396	158.7598
0.1676	158.9982
0.1955	158.8453
0.2234	157.4556
0.2514	157.0572
0.2793	156.1359
0.3072	154.2989
0.3351	153.1630
0.3631	152.1766
0.3910	151.4191
0.4189	151.0043
0.4468	151.3535
0.4748	151.9973
0.5027	152.8206
0.5306	153.5715
0.5586	153.6682
0.5865	153.9878
0.6144	154.9387
0.6423	156.4531
0.6703	158.3478
0.6982	159.0000
0.7261	160.1388
0.7541	160.3432
0.7820	160.7585
0.8099	161.4212
0.8378	164.2236
0.8658	167.6506
0.8937	169.4991
0.9216	170.3804
0.9496	171.6196
0.9775	173.1683
1.0054	173.9050
1.0333	175.0110
1.0613	176.9674
1.0892	179.2417
1.1171	181.1730
1.1450	181.6967
1.1730	181.0868
1.2009	180.5779
1.2288	180.3322
1.2568	180.6630
1.2847	180.3125
1.3126	180.0000
1.3405	180.0000
1.3685	180.0036
1.3964	180.4240
1.4243	181.0000
1.4523	180.8469
1.4802	180.4618
1.5081	180.2142
1.5360	180.9674
1.5640	181.0681
1.5919	180.7727
1.6198	181.0000
1.6478	181.0000
1.6757	181.0000
1.7036	180.8288
1.7315	180.0000
1.7595	179.8560
1.7874	178.8696
1.8153	178.0000
1.8432	178.1033
1.8712	179.0000
1.8991	178.9239
1.9270	177.9375
1.9550	177.0489
1.9829	178.0000
2.0108	177.9783
2.0387	177.0000
2.0667	177.0000
2.0946	174.0571
2.1225	172.0652
2.1505	171.0462
2.1784	167.2391
2.2063	166.0734
2.2342	165.0435
2.2622	163.5518
2.2901	162.8533
2.3180	161.7283
2.3460	160.8370
2.3739	158.4428
2.4018	156.3550
2.4297	155.3669
2.4577	155.3478
2.4856	154.7201
2.5135	155.4511
2.5414	155.9615
2.5694	156.0000
2.5973	154.9805
2.6252	153.6250
2.6532	153.0217
2.6811	152.9376
2.7090	155.0305
2.7369	155.3533
2.7649	155.0000
2.7928	155.8365
2.8207	157.0951
2.8487	158.2446
2.8766	158.7935
2.9045	158.9310
2.9324	157.4170
2.9604	156.7234
2.9883	158.4294
3.0162	160.5671
3.0442	163.6196
3.0721	167.4188
3.1000	170.7674
3.1279	174.5822
3.1559	177.6210
3.1838	179.4511
3.2117	180.8750
3.2396	182.8478
3.2676	185.2310
3.2955	187.0000
3.3234	187.5372
3.3514	188.9348
3.3793	190.1810
3.4072	191.0000
3.4351	190.9456
3.4631	190.5359
3.4910	190.1869
3.5189	190.4565
3.5469	190.2935
3.5748	190.1304
3.6027	190.2227
3.6306	191.4674
3.6586	193.5981
3.6865	196.1512
3.7144	197.0544
3.7423	197.3914
3.7703	197.1748
3.7982	197.7221
3.8261	196.2451
3.8541	196.0625
3.8820	196.4108
3.9099	196.9022
3.9378	195.8324
3.9658	194.0000
3.9937	194.0961
4.0216	195.6314
4.0496	197.7281
4.0775	197.5870
4.1054	197.0977
4.1333	196.8681
4.1613	196.9928
4.1892	196.5609
4.2171	195.0713
4.2451	194.0652
4.2730	193.0788
4.3009	192.2111
4.3288	192.9228
4.3568	193.3828
4.3847	193.5978
4.4126	192.9076
4.4405	191.2446
4.4685	189.3327
4.4964	185.7500
4.5243	184.6700
4.5523	181.2826
4.5802	178.7174
4.6081	174.3071
4.6360	169.3909
4.6640	166.2636
4.6919	164.6285
4.7198	162.8653
4.7478	162.8249
4.7757	163.0000
4.8036	162.2935
4.8315	161.7935
4.8595	161.8654
4.8874	161.7092
4.9153	161.0870
4.9433	159.7526
4.9712	161.9314
4.9991	164.3831
5.0270	165.0137
5.0550	165.2545
5.0829	164.7989
5.1108	164.0793
5.1387	163.5000
5.1667	163.0000
5.1946	163.9456
5.2225	165.2346
5.2505	165.6385
5.2784	166.0000
5.3063	166.4185
5.3342	167.8098
5.3622	169.9017
5.3901	172.6252
5.4180	174.5991
5.4460	176.6803
5.4739	180.6451
5.5018	183.4553
5.5297	186.0875
5.5577	186.9060
5.5856	189.0199
5.6135	192.3098
5.6415	193.6960
5.6694	193.8234
5.6973	196.4891
5.7252	197.5476
5.7532	198.2011
5.7811	199.1875
5.8090	200.1739
5.8369	201.1603
5.8649	202.4402
5.8928	205.0796
5.9207	205.4348
5.9487	205.1946
5.9766	204.2174
6.0045	204.0202
6.0324	204.6446
6.0604	205.6908
6.0883	207.0174
6.1162	207.2935
6.1442	207.1290
6.1721	206.9673
6.2000	206.8044
6.2279	206.9893
6.2559	207.0000
6.2838	207.0000
6.3117	207.0000
6.3397	203.3559
6.3676	204.0931
6.3955	204.9261
6.4234	204.5625
6.4514	204.0467
6.4793	203.8526
6.5072	203.9891
6.5351	203.1794
6.5631	203.2544
6.5910	203.4783
6.6189	204.7009
6.6469	205.0000
6.6748	204.2473
6.7027	201.0435
6.7306	199.2745
6.7586	196.8641
6.7865	193.9049
6.8144	191.6304
6.8424	190.3653
6.8703	187.2609
6.8982	182.5081
6.9261	176.7826
6.9541	173.1685
6.9820	170.5736
7.0099	170.2418
7.0379	170.9631
7.0658	171.0000
7.0937	169.9022
7.1216	168.4647
7.1496	169.0435
7.1775	169.4919
7.2054	168.9677
7.2333	167.9196
7.2613	167.0000
7.2892	167.0000
7.3171	167.0000
7.3451	167.0000
7.3730	167.3696
7.4009	168.9919
7.4288	171.1589
7.4568	172.0243
7.4847	172.2821
7.5126	171.9834
7.5406	170.3731
7.5685	169.7548
7.5964	170.9565
7.6243	173.8161
7.6523	178.3859
7.6802	182.3066
7.7081	184.0000
7.7361	187.9456
7.7640	191.5183
7.7919	194.2192
7.8198	197.5681
7.8478	199.3951
7.8757	202.1685
7.9036	203.2879
7.9315	204.6956
7.9595	204.7200
7.9874	206.1141
8.0153	207.1005
8.0433	208.0870
8.0712	209.0359
8.0991	210.9571
8.1270	210.4713
8.1550	211.0000
8.1829	211.0380
8.2108	213.0054
8.2388	213.9919
8.2667	214.9783
8.2946	215.5557
8.3225	215.0202
8.3505	214.0625
8.3784	214.0000
8.4063	214.0000
8.4343	214.0000
8.4622	212.7617
8.4901	211.5652
8.5180	211.0391
8.5460	211.8424
8.5739	212.0450
8.6018	213.0326
8.6297	213.3804
8.6577	213.1152
8.6856	213.0000
8.7135	212.2391
8.7415	212.0000
8.7694	212.0000
8.7973	212.4618
8.8252	210.0208
8.8532	208.3071
8.8811	209.2553
8.9090	209.3306
8.9370	209.0000
8.9649	208.7848
8.9928	208.1875
9.0207	207.5946
9.0487	205.8743
9.0766	204.4158
9.1045	203.0109
9.1325	200.8196
9.1604	198.3497
9.1883	195.4103
9.2162	193.0684
9.2442	190.5081
9.2721	184.8233
9.3000	179.2799
9.3279	176.8706
9.3559	175.1419
9.3838	173.7826
9.4117	172.6103
9.4397	170.8215
9.4676	169.2717
9.4955	168.6739
9.5234	167.7454
9.5514	168.3533
9.5793	169.0000
9.6072	169.3261
9.6352	170.0000
9.6631	169.8246
9.6910	169.5761
9.7189	170.0109
9.7469	170.9274
9.7748	171.7337
9.8027	174.4620
9.8307	176.5671
9.8586	179.2609
9.8865	182.9070
9.9144	185.7690
9.9424	188.7788
9.9703	193.6287
9.9982	197.9633
10.0261	202.4241
10.0541	205.2505
10.0820	207.1413
10.1099	207.1413
10.1379	208.7598
10.1658	208.1276
10.1937	210.5724
10.2216	212.3839
10.2496	213.8505
10.2775	215.0000
10.3054	215.9886
10.3334	216.6556
10.3613	216.5109
10.3892	216.3478
10.4171	216.9446
10.4451	217.0000
10.4730	217.3970
10.5009	218.8044
10.5289	219.8697
10.5568	220.5802
10.5847	220.2943
10.6126	219.2429
10.6406	218.2962
10.6685	218.2826
10.6964	218.8870
10.7243	219.0000
10.7523	219.0000
10.7802	219.0000
10.8081	218.2581
10.8361	218.0000
10.8640	218.3030
10.8919	218.1754
10.9198	217.3125
10.9478	216.3261
10.9757	216.0761
11.0036	216.0845
11.0316	216.0000
11.0595	216.2694
11.0874	216.1071
11.1153	216.0000
11.1433	216.5788
11.1712	217.0000
11.1991	216.7901
11.2270	215.9185
11.2550	214.6151
11.2829	212.4674
11.3108	209.9892
11.3388	206.8696
11.3667	202.4594
11.3946	197.9357
11.4225	193.9864
11.4505	190.7988
11.4784	188.5888
11.5063	186.9674
11.5343	184.0403
11.5622	181.4375
11.5901	180.3016
11.6180	179.1304
11.6460	177.9891
11.6739	177.2553
11.7018	175.0788
11.7298	172.7065
11.7577	172.2799
11.7856	173.0000
11.8135	172.9918
11.8415	172.7391
11.8694	172.5454
11.8973	173.2120
11.9252	174.3213
11.9532	176.1120
11.9811	177.9099
12.0090	178.5815
12.0370	181.5206
12.0649	183.3913
12.0928	186.5372
12.1207	191.0706
12.1487	194.3723
12.1766	199.4783
12.2045	203.8594
12.2325	209.5598
12.2604	212.6821
12.2883	215.7391
12.3162	215.9185
