Distance_(mm)	Gray_Value
0.0000	192.0000
0.0275	192.9712
0.0550	196.3184
0.0825	197.1956
0.1100	201.4285
0.1375	201.9717
0.1650	204.4812
0.1925	205.7982
0.2200	208.3083
0.2475	210.2535
0.2750	210.9258
0.3025	212.1013
0.3300	214.0513
0.3575	215.1109
0.3850	215.3502
0.4125	215.2549
0.4399	215.5389
0.4674	216.5100
0.4949	217.4812
0.5224	218.4524
0.5499	218.5764
0.5774	218.4101
0.6049	218.7309
0.6324	218.5039
0.6599	218.8224
0.6874	219.2746
0.7149	220.8076
0.7424	223.4611
0.7699	223.7004
0.7974	223.7854
0.8249	223.0000
0.8524	223.0000
0.8799	223.0000
0.9074	223.0439
0.9349	223.8090
0.9624	221.3952
0.9899	221.0231
1.0174	221.0000
1.0449	221.0000
1.0724	220.1240
1.0999	220.0000
1.1274	220.0000
1.1549	219.9600
1.1824	220.7903
1.2099	220.4122
1.2374	220.6123
1.2649	220.3179
1.2923	219.2670
1.3198	218.3834
1.3473	218.0000
1.3748	218.0000
1.4023	217.4699
1.4298	215.9974
1.4573	214.5275
1.4848	213.1127
1.5123	210.4993
1.5398	207.2098
1.5673	204.4141
1.5948	202.4638
1.6223	200.0181
1.6498	197.5555
1.6773	195.9690
1.7048	193.9652
1.7323	193.8917
1.7598	193.3153
1.7873	193.3013
1.8148	191.8140
1.8423	191.9977
1.8698	191.6873
1.8973	190.4885
1.9248	190.7423
1.9523	190.0367
1.9798	190.2124
2.0073	191.3651
2.0348	193.4428
2.0623	193.9037
2.0898	193.8487
2.1173	194.2393
2.1447	197.4245
2.1722	199.5415
2.1997	200.6943
2.2272	201.0000
2.2547	201.2402
2.2822	201.3058
2.3097	202.1741
2.3372	202.9778
2.3647	203.9003
2.3922	206.7005
2.4197	209.9860
2.4472	212.9080
2.4747	216.6245
2.5022	219.3773
2.5297	220.6922
2.5572	222.2550
2.5847	222.7852
2.6122	223.8034
2.6397	224.2332
2.6672	225.2122
2.6947	225.6271
2.7222	226.7362
2.7497	227.0000
2.7772	227.0151
2.8047	227.4690
2.8322	228.6795
2.8597	229.8952
2.8872	232.9214
2.9147	233.9450
2.9422	234.5545
2.9697	234.9825
2.9971	234.8560
3.0246	233.7921
3.0521	232.6367
3.0796	231.2731
3.1071	230.2568
3.1346	229.2856
3.1621	229.6856
3.1896	230.1583
3.2171	230.6286
3.2446	230.1633
3.2721	229.2248
3.2996	228.4585
3.3271	229.0025
3.3546	230.6786
3.3821	232.1466
3.4096	233.4262
3.4371	233.5679
3.4646	233.0960
3.4921	232.6603
3.5196	231.6891
3.5471	230.7179
3.5746	229.8559
3.6021	229.1240
3.6296	228.4728
3.6571	227.6952
3.6846	226.0000
3.7121	225.8908
3.7396	224.9562
3.7671	224.1127
3.7946	221.9532
3.8221	220.4820
3.8495	219.0348
3.8770	218.7580
3.9045	213.5537
3.9320	209.2121
3.9595	205.1415
3.9870	203.2330
4.0145	203.0982
4.0420	202.8647
4.0695	202.5834
4.0970	202.3441
4.1245	201.2861
4.1520	200.3046
4.1795	199.7685
4.2070	199.3869
4.2345	199.6263
4.2620	200.5756
4.2895	201.3371
4.3170	201.7007
4.3445	203.2539
4.3720	204.9511
4.3995	205.4891
4.4270	207.1921
4.4545	209.1490
4.4820	211.6081
4.5095	214.3109
4.5370	217.9476
4.5645	221.5076
4.5920	222.5240
4.6195	225.9930
4.6470	230.4419
4.6745	230.8821
4.7019	232.9205
4.7294	233.2026
4.7569	234.4131
4.7844	235.6236
4.8119	236.9510
4.8394	237.0000
4.8669	237.8987
4.8944	238.0000
4.9219	238.8410
4.9494	239.0000
4.9769	239.7834
5.0044	240.0000
5.0319	240.7258
5.0594	241.0000
5.0869	240.3319
5.1144	240.0000
5.1419	240.0000
5.1694	240.0000
5.1969	240.1260
5.2244	240.7464
5.2519	241.3499
5.2794	241.9458
5.3069	242.3703
5.3344	242.6754
5.3619	242.2838
5.3894	241.5860
5.4169	240.7742
5.4444	240.0000
5.4719	240.2646
5.4994	241.0000
5.5269	240.8136
5.5543	240.2785
5.5818	239.9370
5.6093	239.8175
5.6368	239.9135
5.6643	239.2961
5.6918	239.5147
5.7193	238.4495
5.7468	237.9857
5.7743	237.0391
5.8018	236.5338
5.8293	236.0805
5.8568	234.2777
5.8843	233.1677
5.9118	231.3930
5.9393	229.1577
5.9668	227.3440
5.9943	225.9476
6.0218	221.7450
6.0493	218.5816
6.0768	216.6667
6.1043	214.9468
6.1318	213.9468
6.1593	212.7310
6.1868	210.9694
6.2143	209.5535
6.2418	209.3214
6.2693	208.7031
6.2968	207.0800
6.3243	205.6535
6.3518	204.6576
6.3793	205.4053
6.4067	208.4584
6.4342	209.7668
6.4617	212.0000
6.4892	212.1983
6.5167	213.1210
6.5442	214.1008
6.5717	215.5284
6.5992	218.5624
6.6267	220.1988
6.6542	223.9869
6.6817	226.8398
6.7092	229.5135
6.7367	231.4908
6.7642	233.6882
6.7917	234.9759
6.8192	235.3467
6.8467	239.5622
6.8742	240.9694
6.9017	241.7013
6.9292	242.4332
6.9567	242.4568
6.9842	242.7492
7.0117	242.3275
7.0392	241.9012
7.0667	244.0758
7.0942	245.7397
7.1217	245.9903
7.1492	246.6143
7.1767	247.0000
7.2042	247.1360
7.2317	247.0638
7.2591	246.8244
7.2866	247.6725
7.3141	248.8968
7.3416	247.9675
7.3691	248.1328
7.3966	248.4353
7.4241	248.3886
7.4516	248.1210
7.4791	248.1607
7.5066	249.0000
7.5341	249.0000
7.5616	249.0000
7.5891	249.0943
7.6166	249.5563
7.6441	249.0638
7.6716	249.5301
7.6991	250.0038
7.7266	251.3646
7.7541	250.6721
7.7816	249.8786
7.8091	248.3632
7.8366	247.8421
7.8641	247.1359
7.8916	246.5051
7.9191	244.6821
7.9466	242.0938
7.9741	242.8130
8.0016	242.7502
8.0291	242.6358
8.0566	242.3933
8.0841	242.8665
8.1115	242.4105
8.1390	239.2908
8.1665	235.7520
8.1940	234.5949
8.2215	233.4699
8.2490	229.5110
8.2765	225.7301
8.3040	222.6768
8.3315	220.4393
8.3590	217.5092
8.3865	216.3608
8.4140	213.5975
8.4415	211.5345
8.4690	211.2952
8.4965	211.0559
8.5240	211.3668
8.5515	211.8454
8.5790	212.3267
8.6065	212.8992
8.6340	213.1406
8.6615	217.2868
8.6890	218.8261
8.7165	222.5772
8.7440	225.4231
8.7715	228.3530
8.7990	231.3319
8.8265	235.7424
8.8540	237.6492
8.8815	239.6973
8.9090	241.6847
8.9365	242.0000
8.9639	241.9878
8.9914	241.8932
9.0189	242.0000
9.0464	242.1398
9.0739	242.0306
9.1014	243.8410
9.1289	246.0000
9.1564	246.4026
9.1839	247.3738
9.2114	248.4022
9.2389	249.4052
9.2664	249.6445
9.2939	249.6553
9.3214	249.2580
9.3489	250.5633
9.3764	251.6017
9.4039	251.8410
9.4314	251.7341
9.4589	250.7077
9.4864	251.0000
9.5139	251.0280
9.5414	251.9616
9.5689	251.0215
9.5964	251.4555
9.6239	251.2445
9.6514	251.8844
9.6789	251.9661
9.7064	251.1738
9.7339	251.0000
9.7614	250.9631
9.7889	249.6620
9.8163	250.5463
9.8438	251.6821
9.8713	251.4061
9.8988	250.5240
9.9263	250.0231
9.9538	249.8987
9.9813	249.9383
10.0088	250.0538
10.0363	250.1793
10.0638	249.5485
10.0913	249.0000
10.1188	248.5432
10.1463	247.4431
10.1738	246.6638
10.2013	245.6926
10.2288	245.0089
10.2563	244.2410
10.2838	242.0594
10.3113	239.8777
10.3388	237.8594
10.3663	237.1875
10.3938	236.9425
10.4213	236.6718
10.4488	236.7824
10.4763	234.4310
10.5038	232.0169
10.5313	230.4111
10.5588	228.3438
10.5863	226.1921
10.6138	225.1249
10.6413	225.3304
10.6687	223.5162
10.6962	222.9814
10.7237	222.7511
10.7512	222.4332
10.7787	222.3300
10.8062	223.3467
10.8337	225.2891
10.8612	227.2314
10.8887	228.5869
10.9162	231.2323
10.9437	233.5293
10.9712	236.0017
10.9987	238.4716
11.0262	239.4428
11.0537	240.5307
11.0812	242.1555
11.1087	244.3563
11.1362	245.3003
11.1637	246.0467
11.1912	246.5587
11.2187	247.1530
11.2462	247.6887
11.2737	247.3688
11.3012	247.9454
11.3287	247.4592
11.3562	247.3208
11.3837	247.1389
11.4112	248.3765
11.4387	250.0105
11.4662	250.9817
11.4937	250.9734
11.5211	250.0557
11.5486	250.4417
11.5761	250.9003
11.6036	251.8251
11.6311	252.1815
11.6586	252.8820
11.6861	253.0000
11.7136	252.2777
11.7411	252.0000
11.7686	252.6646
11.7961	253.4198
11.8236	253.2926
11.8511	253.0586
11.8786	252.6584
11.9061	251.9747
11.9336	250.6515
11.9611	250.4629
11.9886	251.4341
12.0161	252.4052
12.0436	252.2472
12.0711	250.6524
12.0986	249.6812
12.1261	249.0000
12.1536	249.0000
12.1811	249.2299
12.2086	249.8010
12.2361	250.0000
12.2636	249.8145
12.2911	248.8544
12.3186	247.6349
12.3461	245.8812
12.3735	243.9598
12.4010	242.9215
12.4285	241.2183
12.4560	241.0226
12.4835	238.2542
12.5110	238.8865
12.5385	237.2847
12.5660	235.6413
12.5935	234.8000
12.6210	234.1920
12.6485	234.0786
