Distance_(mm)	Gray_Value
0.0000	183.0000
0.0273	183.9804
0.0546	184.0000
0.0819	183.6949
0.1091	182.9943
0.1364	182.2281
0.1637	182.3399
0.1910	184.2095
0.2183	187.9780
0.2456	190.5377
0.2728	194.1047
0.3001	196.9635
0.3274	201.0276
0.3547	202.8004
0.3820	203.5569
0.4093	204.0000
0.4366	204.8502
0.4638	205.7742
0.4911	208.2005
0.5184	211.1565
0.5457	212.5282
0.5730	212.9447
0.6003	214.4197
0.6276	216.8378
0.6548	219.5746
0.6821	222.3684
0.7094	223.0000
0.7367	222.9800
0.7640	223.5852
0.7913	225.1272
0.8185	225.6993
0.8458	225.9226
0.8731	225.9544
0.9004	225.3078
0.9277	224.9165
0.9550	224.2999
0.9823	225.0869
1.0095	225.7376
1.0368	225.4538
1.0641	224.0000
1.0914	224.0000
1.1187	224.9697
1.1460	225.0000
1.1732	225.0000
1.2005	224.1116
1.2278	223.1369
1.2551	222.7719
1.2824	222.9071
1.3097	223.2214
1.3370	223.7758
1.3642	224.0000
1.3915	224.0000
1.4188	223.3138
1.4461	222.3390
1.4734	221.4230
1.5007	221.8924
1.5280	221.9201
1.5552	221.1687
1.5825	220.4430
1.6098	219.1565
1.6371	217.9144
1.6644	217.6218
1.6917	216.1108
1.7189	212.7066
1.7462	208.4099
1.7735	203.5959
1.8008	200.6699
1.8281	197.3855
1.8554	195.6210
1.8827	194.4083
1.9099	194.4854
1.9372	193.7938
1.9645	192.1980
1.9918	188.3402
2.0191	185.7514
2.0464	183.5188
2.0737	181.1392
2.1009	181.8492
2.1282	182.1638
2.1555	181.7224
2.1828	182.9633
2.2101	184.1255
2.2374	187.1185
2.2646	187.0518
2.2919	188.7555
2.3192	189.0000
2.3465	189.8272
2.3738	190.3431
2.4011	191.4279
2.4284	193.9401
2.4556	196.4523
2.4829	198.8519
2.5102	200.7045
2.5375	203.9497
2.5648	207.8630
2.5921	211.5279
2.6193	215.7359
2.6466	218.9458
2.6739	221.5721
2.7012	224.1051
2.7285	225.9646
2.7558	226.8940
2.7831	228.0685
2.8103	229.3977
2.8376	230.0000
2.8649	230.0000
2.8922	230.0000
2.9195	230.2652
2.9468	231.8142
2.9741	233.9162
3.0013	233.4360
3.0286	233.2127
3.0559	233.1597
3.0832	233.8000
3.1105	234.0650
3.1378	234.4140
3.1650	235.2973
3.1923	237.7904
3.2196	235.9813
3.2469	235.0065
3.2742	235.5752
3.3015	236.9429
3.3288	238.1413
3.3560	239.3594
3.3833	239.6903
3.4106	239.9136
3.4379	239.1583
3.4652	238.2086
3.4925	237.2339
3.5197	235.8045
3.5470	233.5387
3.5743	232.2312
3.6016	232.0000
3.6289	233.9193
3.6562	234.3855
3.6835	233.4108
3.7107	231.5167
3.7380	230.0546
3.7653	229.8166
3.7926	230.4882
3.8199	231.0000
3.8472	232.0882
3.8745	233.2975
3.9017	232.1589
3.9290	229.4527
3.9563	226.6634
3.9836	224.7547
4.0109	221.4279
4.0382	218.9071
4.0654	214.6779
4.0927	210.9714
4.1200	208.2600
4.1473	204.5208
4.1746	201.1296
4.2019	196.8266
4.2292	193.3032
