Distance_(mm)	Gray_Value
0.000	163.000
0.347	147.667
0.694	140.498
1.041	142.173
1.388	162.153
1.735	140.198
2.082	168.148
2.429	178.912
2.776	181.127
3.124	199.016
3.471	201.548
3.818	198.082
4.165	212.720
4.512	218.649
4.859	217.433
5.206	199.772
5.553	201.853
5.900	212.032
6.247	201.197
6.594	184.899
6.941	206.854
7.288	204.192
7.635	157.607
7.982	178.265
8.329	155.300
8.676	167.486
9.024	143.978
9.371	136.483
9.718	130.684
10.065	102.447
10.412	118.115
10.759	108.898
11.106	111.440
11.453	109.007
11.800	132.270
12.147	114.002
12.494	135.463
12.841	176.492
13.188	187.680
13.535	179.479
13.882	176.295
14.229	196.558
14.577	214.801
14.924	206.420
15.271	197.945
15.618	224.368
15.965	223.809
16.312	214.105
16.659	216.623
17.006	214.287
17.353	212.447
17.700	215.811
18.047	195.764
18.394	189.146
18.741	174.804
19.088	160.291
19.435	158.908
19.782	169.054
20.129	167.945
20.477	160.135
20.824	142.245
21.171	136.837
21.518	118.648
21.865	143.891
22.212	133.192
22.559	113.860
22.906	134.181
23.253	142.838
23.600	167.303
23.947	174.558
24.294	172.158
24.641	180.713
24.988	195.953
25.335	211.685
25.682	209.021
26.029	217.406
26.377	229.170
26.724	233.613
27.071	236.687
27.418	237.614
27.765	239.153
28.112	242.815
28.459	240.649
28.806	227.678
29.153	225.066
29.500	239.008
29.847	237.814
30.194	237.467
30.541	227.272
30.888	204.974
31.235	215.611
31.582	216.042
31.929	213.652
32.277	190.805
32.624	150.161
32.971	155.292
33.318	150.132
33.665	145.254
34.012	138.407
34.359	129.952
34.706	142.674
35.053	175.562
35.400	192.543
35.747	187.980
36.094	213.865
36.441	214.578
36.788	213.611
37.135	225.779
37.482	228.392
37.829	235.651
38.177	233.496
38.524	238.982
38.871	237.425
39.218	228.274
39.565	235.048
39.912	234.674
40.259	229.330
40.606	234.775
40.953	232.584
41.300	231.477
41.647	234.212
41.994	234.977
42.341	243.197
42.688	243.573
43.035	236.860
43.382	225.954
43.730	222.944
44.077	216.766
44.424	190.549
44.771	183.288
45.118	159.511
45.465	139.788
45.812	173.902
46.159	162.071
46.506	186.578
46.853	197.125
47.200	210.792
47.547	220.938
47.894	222.800
48.241	226.338
48.588	233.106
48.935	230.226
49.282	234.986
49.630	238.575
49.977	239.503
50.324	241.706
50.671	237.650
51.018	242.143
51.365	242.743
51.712	240.541
52.059	239.566
52.406	239.826
52.753	240.614
53.100	240.520
53.447	237.407
53.794	231.262
54.141	226.500
54.488	224.777
54.835	223.286
55.182	215.760
55.530	198.968
55.877	189.570
56.224	189.681
56.571	172.093
56.918	151.252
57.265	148.503
57.612	152.967
57.959	190.306
58.306	188.050
58.653	225.086
59.000	204.412
59.347	235.069
59.694	227.087
60.041	238.910
60.388	238.364
60.735	239.934
61.082	240.007
61.430	241.471
61.777	239.589
62.124	240.110
62.471	242.253
62.818	247.009
63.165	248.212
63.512	250.394
63.859	252.780
64.206	248.381
64.553	247.040
64.900	245.599
65.247	245.435
65.594	248.874
65.941	245.258
66.288	243.215
66.635	243.145
66.983	232.263
67.330	219.523
67.677	219.582
68.024	207.259
68.371	179.463
68.718	189.641
69.065	204.380
69.412	223.433
69.759	234.370
70.106	233.960
70.453	237.952
70.800	244.412
71.147	245.073
71.494	243.509
71.841	251.454
72.188	246.877
72.535	247.618
72.883	252.933
73.230	254.246
73.577	253.254
73.924	254.735
74.271	254.749
74.618	254.964
74.965	255.000
75.312	254.948
75.659	255.000
76.006	254.855
76.353	254.943
76.700	254.409
77.047	254.797
77.394	255.000
77.741	255.000
78.088	255.000
78.435	255.000
78.783	255.000
79.130	253.913
79.477	251.084
79.824	244.939
80.171	234.987
80.518	226.254
80.865	224.526
81.212	231.762
81.559	242.516
81.906	251.205
82.253	254.467
82.600	254.978
82.947	255.000
83.294	255.000
83.641	252.907
83.988	249.643
84.335	247.162
84.683	245.803
85.030	244.646
85.377	248.509
85.724	252.184
86.071	251.701
86.418	250.363
86.765	248.963
87.112	247.753
87.459	247.372
87.806	246.201
88.153	247.101
88.500	248.000
88.847	248.599
89.194	249.000
89.541	250.175
89.888	251.000
90.236	252.153
90.583	253.000
90.930	253.000
91.277	252.511
91.624	252.525
91.971	252.308
92.318	252.337
92.665	252.114
93.012	252.141
93.359	251.912
93.706	251.818
94.053	251.547
94.400	251.409
94.747	251.182
95.094	251.000
95.441	250.818
95.788	250.591
96.136	251.420
96.483	251.226
96.830	251.033
97.177	251.000
97.524	251.000
97.871	251.000
98.218	251.000
98.565	251.000
98.912	251.000
99.259	250.426
99.606	249.173
99.953	248.854
100.300	248.971
100.647	249.555
100.994	249.560
101.341	248.980
101.688	250.146
102.036	252.181
102.383	254.712
102.730	253.764
103.077	249.203
103.424	242.796
103.771	234.936
104.118	225.688
104.465	220.273
104.812	222.528
105.159	231.673
105.506	238.679
105.853	246.325
106.200	251.335
106.547	253.588
106.894	255.000
107.241	255.000
107.588	255.000
107.936	254.852
108.283	254.402
108.630	254.117
108.977	253.516
109.324	253.732
109.671	254.028
110.018	254.167
110.365	253.685
110.712	254.148
111.059	254.287
111.406	254.034
111.753	250.787
112.100	251.188
112.447	253.051
112.794	249.732
113.141	247.268
113.488	243.946
113.836	240.421
114.183	238.330
114.530	231.924
114.877	219.174
115.224	219.705
115.571	215.166
115.918	193.894
116.265	182.234
116.612	190.219
116.959	196.656
117.306	218.352
117.653	223.168
118.000	222.042
118.347	240.855
118.694	227.466
119.041	227.565
119.389	233.396
119.736	239.541
120.083	241.738
120.430	237.249
120.777	234.091
121.124	236.359
121.471	239.853
121.818	242.719
122.165	236.559
122.512	242.344
122.859	239.846
123.206	242.030
123.553	240.621
123.900	231.213
124.247	239.383
124.594	238.077
124.941	223.282
125.289	236.766
125.636	227.987
125.983	232.159
126.330	235.128
126.677	201.005
127.024	212.618
127.371	218.447
127.718	198.206
128.065	182.096
128.412	180.698
