Distance_(mm)	Gray_Value
0.000	118.000
0.348	128.867
0.696	125.348
1.044	151.070
1.391	153.010
1.739	111.139
2.087	97.087
2.435	146.122
2.783	140.364
3.131	132.047
3.478	180.943
3.826	141.219
4.174	171.064
4.522	186.023
4.870	174.701
5.218	196.535
5.565	213.642
5.913	210.062
6.261	189.221
6.609	168.802
6.957	171.771
7.305	162.706
7.652	136.002
8.000	171.511
8.348	142.356
8.696	159.603
9.044	114.828
9.392	139.472
9.739	163.440
10.087	138.172
10.435	132.159
10.783	140.945
11.131	128.616
11.479	152.454
11.826	179.906
12.174	186.324
12.522	184.479
12.870	189.132
13.218	199.193
13.566	205.968
13.913	205.746
14.261	202.103
14.609	200.957
14.957	200.912
15.305	194.108
15.653	192.113
16.000	195.898
16.348	189.021
16.696	174.972
17.044	187.851
17.392	190.943
17.740	169.289
18.087	141.875
18.435	134.313
18.783	109.137
19.131	136.723
19.479	153.587
19.827	170.522
20.174	194.068
20.522	204.205
20.870	208.419
21.218	220.193
21.566	230.872
21.914	228.217
22.262	224.824
22.609	225.234
22.957	224.231
23.305	222.618
23.653	230.750
24.001	233.086
24.349	224.759
24.696	223.274
25.044	220.533
25.392	203.489
25.740	188.309
26.088	173.115
26.436	143.365
26.783	166.691
27.131	126.336
27.479	128.015
27.827	172.573
28.175	186.313
28.523	180.238
28.870	177.500
29.218	203.601
29.566	215.172
29.914	219.814
30.262	229.405
30.610	236.239
30.957	242.534
31.305	240.287
31.653	239.287
32.001	237.650
32.349	236.897
32.697	236.168
33.044	231.292
33.392	228.564
33.740	220.182
34.088	199.430
34.436	191.361
34.784	182.127
35.131	158.357
35.479	156.719
35.827	163.155
36.175	167.085
36.523	184.602
36.871	199.538
37.218	219.465
37.566	228.556
37.914	237.707
38.262	245.542
38.610	245.445
38.958	248.497
39.305	244.321
39.653	244.784
40.001	248.128
40.349	249.960
40.697	252.147
41.045	253.552
41.393	252.234
41.740	252.202
42.088	243.225
42.436	234.858
42.784	242.458
43.132	229.223
43.480	215.642
43.827	163.511
44.175	153.152
44.523	184.817
44.871	190.561
45.219	215.818
45.567	233.995
45.914	234.152
46.262	228.717
46.610	242.931
46.958	248.027
47.306	238.500
47.654	249.519
48.001	250.976
48.349	252.546
48.697	249.072
49.045	249.931
49.393	251.158
49.741	252.816
50.088	247.443
50.436	249.152
50.784	249.258
51.132	252.732
51.480	246.705
51.828	241.292
52.175	235.171
52.523	215.577
52.871	190.706
53.219	147.023
53.567	202.744
53.915	234.334
54.262	233.907
54.610	231.659
54.958	248.765
55.306	251.874
55.654	248.509
56.002	248.237
56.349	251.221
56.697	252.981
57.045	253.210
57.393	252.749
57.741	251.272
58.089	251.701
58.436	251.427
58.784	249.683
59.132	252.625
59.480	247.046
59.828	240.973
60.176	239.947
60.523	239.273
60.871	237.754
61.219	228.341
61.567	210.197
61.915	224.079
62.263	231.184
62.611	236.648
62.958	243.945
63.306	247.074
63.654	247.550
64.002	243.602
64.350	248.995
64.698	254.853
65.045	254.516
65.393	254.634
65.741	254.981
66.089	252.059
66.437	252.632
66.785	254.903
67.132	254.133
67.480	247.599
67.828	254.441
68.176	254.189
68.524	248.632
68.872	252.660
69.219	244.457
69.567	247.546
69.915	227.848
70.263	215.170
70.611	229.914
70.959	238.250
71.306	244.687
71.654	253.724
72.002	255.000
72.350	253.946
72.698	254.764
73.046	254.480
73.393	254.882
73.741	255.000
74.089	255.000
74.437	254.891
74.785	252.591
75.133	253.472
75.480	254.737
75.828	250.917
76.176	251.312
76.524	254.348
76.872	255.000
77.220	252.787
77.567	252.010
77.915	254.176
78.263	250.467
78.611	245.841
78.959	243.239
79.307	247.747
79.654	252.669
80.002	251.835
80.350	249.320
80.698	253.003
81.046	252.811
81.394	253.978
81.741	254.618
82.089	253.302
82.437	252.544
82.785	253.531
83.133	254.205
83.481	254.294
83.829	252.978
84.176	250.963
84.524	251.315
84.872	253.155
85.220	253.845
85.568	254.643
85.916	255.000
86.263	255.000
86.611	255.000
86.959	255.000
87.307	255.000
87.655	253.205
88.003	252.035
88.350	250.801
88.698	250.445
89.046	249.886
89.394	249.824
89.742	249.373
90.090	249.387
90.437	249.471
90.785	250.238
91.133	251.000
91.481	251.081
91.829	251.353
92.177	252.335
92.524	253.000
92.872	253.512
93.220	254.176
93.568	254.701
93.916	255.000
94.264	255.000
94.611	255.000
94.959	254.506
95.307	253.799
95.655	253.681
96.003	254.000
96.351	254.000
96.698	254.000
97.046	254.000
97.394	254.000
97.742	253.550
98.090	252.941
98.438	252.735
98.785	252.529
99.133	252.324
99.481	251.272
99.829	250.746
100.177	251.706
100.525	251.297
100.872	251.272
101.220	251.315
101.568	250.118
101.916	250.324
102.264	250.529
102.612	250.735
102.960	251.330
103.307	252.208
103.655	253.390
104.003	254.857
104.351	255.000
104.699	255.000
105.047	254.136
105.394	253.308
105.742	254.014
106.090	252.868
106.438	250.312
106.786	252.026
107.134	253.824
107.481	254.405
107.829	254.912
108.177	255.000
108.525	255.000
108.873	255.000
109.221	255.000
109.568	254.888
109.916	253.820
110.264	251.458
110.612	250.243
110.960	249.157
111.308	250.529
111.655	251.145
112.003	247.003
112.351	243.898
112.699	249.390
113.047	253.321
113.395	253.656
113.742	249.545
114.090	246.711
114.438	251.297
114.786	248.302
115.134	254.322
115.482	251.493
115.829	246.094
116.177	248.498
116.525	251.072
116.873	249.422
117.221	249.715
117.569	250.802
117.916	254.560
118.264	252.625
118.612	251.051
118.960	254.547
119.308	251.319
119.656	250.718
120.003	254.063
120.351	249.464
120.699	253.893
121.047	253.101
121.395	242.823
121.743	248.872
122.090	247.637
122.438	244.997
122.786	240.913
123.134	229.641
123.482	242.538
123.830	243.639
124.178	249.922
124.525	247.463
124.873	253.977
125.221	254.985
125.569	254.009
125.917	254.990
126.265	252.372
126.612	254.514
126.960	252.031
127.308	251.711
127.656	253.524
128.004	250.453
128.352	248.043
128.699	252.293
129.047	249.496
129.395	249.309
129.743	248.662
130.091	248.469
130.439	247.657
130.786	248.251
131.134	243.898
131.482	209.373
131.830	250.003
132.178	248.925
132.526	227.533
132.873	245.677
133.221	248.704
133.569	247.907
133.917	252.709
134.265	252.985
134.613	249.491
134.960	251.573
135.308	249.417
135.656	252.475
136.004	254.609
136.352	247.702
136.700	246.015
137.047	249.285
137.395	253.938
137.743	248.663
138.091	252.378
138.439	254.693
138.787	249.570
139.134	250.728
139.482	239.817
139.830	231.588
140.178	210.156
140.526	214.074
140.874	210.697
141.221	212.051
141.569	240.900
141.917	253.250
142.265	243.995
142.613	250.397
142.961	247.352
143.309	247.193
143.656	250.702
144.004	252.647
144.352	247.576
144.700	245.647
145.048	249.849
145.396	249.885
145.743	248.160
146.091	246.970
146.439	245.872
146.787	245.137
147.135	245.948
147.483	246.589
147.830	242.656
148.178	221.104
148.526	236.322
148.874	231.454
149.222	184.665
149.570	180.441
149.917	209.197
150.265	224.517
150.613	230.382
150.961	235.010
151.309	240.894
151.657	241.000
152.004	241.294
152.352	244.232
152.700	242.297
153.048	247.499
153.396	250.557
153.744	243.156
154.091	245.004
154.439	250.413
154.787	251.011
155.135	252.820
155.483	250.718
155.831	244.076
156.178	243.911
156.526	237.646
156.874	228.191
157.222	226.336
157.570	208.230
157.918	206.039
158.265	199.338
158.613	193.368
158.961	199.554
159.309	189.403
159.657	213.977
160.005	230.017
160.352	234.742
160.700	237.134
161.048	238.909
161.396	244.663
161.744	247.741
162.092	241.397
162.439	243.003
162.787	237.500
163.135	239.620
163.483	245.040
163.831	244.958
164.179	243.358
164.527	245.564
164.874	241.779
165.222	236.632
165.570	233.375
165.918	220.615
166.266	209.639
166.614	188.333
166.961	180.502
167.309	170.706
167.657	156.299
168.005	181.234
168.353	196.567
168.701	209.885
169.048	206.516
169.396	206.116
169.744	216.162
170.092	229.632
170.440	233.877
170.788	235.303
171.135	239.897
171.483	242.258
171.831	235.372
172.179	236.120
172.527	240.180
172.875	238.967
173.222	241.061
173.570	237.867
173.918	227.987
174.266	224.325
174.614	219.973
174.962	211.146
175.309	197.263
175.657	185.266
176.005	176.417
176.353	171.340
176.701	154.462
177.049	137.330
177.396	178.688
177.744	195.025
178.092	205.730
178.440	199.428
178.788	195.457
179.136	204.373
179.483	207.883
179.831	216.484
180.179	214.957
180.527	214.070
180.875	218.302
181.223	220.168
181.570	224.448
181.918	220.992
182.266	209.635
182.614	223.856
182.962	222.066
183.310	214.375
183.657	217.144
184.005	207.645
184.353	202.747
184.701	195.580
185.049	173.255
185.397	153.861
185.745	177.193
186.092	142.369
186.440	162.945
186.788	161.471
187.136	179.845
187.484	185.039
187.832	170.593
188.179	196.158
188.527	193.027
188.875	199.629
189.223	214.000
