Distance_(mm)	Gray_Value
0.000	222.000
0.321	218.778
0.643	210.123
0.964	202.996
1.285	199.601
1.607	191.578
1.928	201.607
2.250	134.913
2.571	106.554
2.892	131.091
3.214	172.205
3.535	109.371
3.856	112.819
4.178	96.174
4.499	159.832
4.820	172.900
5.142	173.313
5.463	203.612
5.785	221.695
6.106	217.523
6.427	224.713
6.749	230.394
7.070	240.532
7.391	241.134
7.713	236.771
8.034	240.868
8.355	246.043
8.677	239.863
8.998	240.715
9.320	242.695
9.641	240.714
9.962	241.009
10.284	235.761
10.605	225.999
10.926	216.905
11.248	203.661
11.569	200.746
11.890	151.662
12.212	186.225
12.533	149.323
12.855	158.589
13.176	176.380
13.497	195.579
13.819	220.978
14.140	228.415
14.461	232.936
14.783	239.988
15.104	239.988
15.426	246.509
15.747	250.532
16.068	252.688
16.390	246.524
16.711	250.270
17.032	246.205
17.354	241.743
17.675	250.575
17.996	236.234
18.318	243.837
18.639	251.312
18.961	249.269
19.282	248.849
19.603	239.433
19.925	228.896
20.246	204.653
20.567	186.693
20.889	172.322
21.210	170.116
21.531	156.782
21.853	145.666
22.174	187.066
22.496	224.064
22.817	228.564
23.138	238.078
23.460	239.301
23.781	241.192
24.102	244.797
24.424	245.804
24.745	246.736
25.066	249.181
25.388	250.340
25.709	249.397
26.031	252.780
26.352	253.853
26.673	254.896
26.995	254.133
27.316	253.175
27.637	251.936
27.959	250.867
28.280	249.175
28.601	247.424
28.923	243.404
29.244	238.442
29.566	237.630
29.887	227.842
30.208	223.531
30.530	220.705
30.851	224.231
31.172	234.683
31.494	233.590
31.815	240.019
32.136	241.920
32.458	243.095
32.779	253.569
33.101	252.126
33.422	247.031
33.743	250.385
34.065	255.000
34.386	255.000
34.707	254.230
35.029	252.678
35.350	254.147
35.671	252.627
35.993	249.428
36.314	250.875
36.636	249.481
36.957	253.235
37.278	251.500
37.600	254.321
37.921	252.540
38.242	247.783
38.564	246.360
38.885	242.506
39.206	232.175
39.528	231.290
39.849	245.862
40.171	242.846
40.492	251.953
40.813	248.948
41.135	254.453
41.456	251.929
41.777	255.000
42.099	254.929
42.420	253.517
42.742	249.579
43.063	248.346
43.384	247.683
43.706	246.217
44.027	244.483
44.348	242.266
44.670	241.653
44.991	247.639
45.312	252.806
45.634	252.731
45.955	252.909
46.277	254.414
46.598	253.203
46.919	250.972
47.241	255.000
47.562	254.989
47.883	254.712
48.205	250.795
48.526	253.547
48.847	249.205
49.169	255.000
49.490	254.991
49.812	252.600
50.133	251.200
50.454	251.986
50.776	250.017
51.097	248.765
51.418	247.552
51.740	247.926
52.061	247.112
52.382	244.689
52.704	242.793
53.025	243.919
53.347	245.031
53.668	246.845
53.989	249.034
54.311	250.854
54.632	251.575
54.953	254.155
55.275	254.534
55.596	254.327
55.917	254.500
56.239	254.839
56.560	254.995
56.882	254.853
57.203	254.945
57.524	255.000
57.846	255.000
58.167	255.000
58.488	255.000
58.810	255.000
59.131	253.659
59.452	251.522
59.774	248.633
60.095	248.703
60.417	248.160
60.738	248.986
61.059	249.418
61.381	250.503
61.702	250.856
62.023	251.807
62.345	252.236
62.666	253.446
62.987	253.638
63.309	254.207
63.630	252.888
63.952	252.112
64.273	252.213
64.594	252.022
64.916	252.763
65.237	253.812
65.558	254.017
65.880	254.614
66.201	254.266
66.522	254.000
66.844	254.000
67.165	254.000
67.487	254.000
67.808	253.364
68.129	253.000
68.451	253.000
68.772	253.000
69.093	253.000
69.415	253.000
69.736	253.000
70.058	253.000
70.379	251.014
70.700	249.368
71.022	249.762
71.343	250.000
71.664	249.970
71.986	249.938
72.307	251.636
72.628	253.000
72.950	253.246
73.271	253.569
73.593	253.677
73.914	253.382
74.235	252.945
74.557	253.000
74.878	252.560
75.199	252.216
75.521	251.532
75.842	250.839
76.163	251.174
76.485	251.353
76.806	251.246
77.128	251.076
77.449	252.299
77.770	254.402
78.092	253.338
78.413	251.462
78.734	251.234
79.056	251.208
79.377	251.865
79.698	252.161
80.020	251.507
80.341	250.663
80.663	250.348
80.984	251.173
81.305	252.153
81.627	253.337
81.948	253.957
82.269	254.172
82.591	254.491
82.912	254.802
83.233	254.909
83.555	254.368
83.876	253.594
84.198	253.811
84.519	253.308
84.840	253.402
85.162	253.733
85.483	254.628
85.804	252.213
86.126	250.224
86.447	254.228
86.768	252.785
87.090	254.695
87.411	254.759
87.733	252.240
88.054	248.839
88.375	254.715
88.697	255.000
89.018	254.905
89.339	254.703
89.661	253.739
89.982	253.141
90.303	253.661
90.625	250.232
90.946	246.693
91.268	252.025
91.589	248.241
91.910	247.451
92.232	250.347
92.553	253.763
92.874	252.172
93.196	250.969
93.517	249.104
93.838	244.652
94.160	245.910
94.481	244.723
94.803	244.601
95.124	248.739
95.445	254.999
95.767	254.688
96.088	254.985
96.409	254.692
96.731	255.000
97.052	254.957
97.373	254.330
97.695	255.000
98.016	255.000
98.338	255.000
98.659	254.836
98.980	254.624
99.302	255.000
99.623	255.000
99.944	253.478
100.266	254.968
100.587	254.289
100.909	251.413
101.230	254.858
101.551	253.796
101.873	249.966
102.194	245.934
102.515	242.648
102.837	238.823
103.158	228.146
103.479	203.928
103.801	162.759
104.122	188.831
104.444	203.366
104.765	220.528
105.086	230.821
105.408	234.838
105.729	240.156
106.050	245.176
106.372	249.528
106.693	251.508
107.014	246.529
107.336	252.541
107.657	254.537
107.979	249.649
108.300	252.228
108.621	254.679
108.943	254.241
109.264	250.046
109.585	252.558
109.907	250.734
110.228	247.142
110.549	250.827
110.871	241.329
111.192	237.092
111.514	239.605
111.835	232.125
112.156	224.776
112.478	223.159
112.799	206.634
113.120	180.366
113.442	157.166
113.763	173.676
114.084	211.343
114.406	230.081
114.727	237.284
115.049	245.301
115.370	250.578
115.691	254.198
116.013	251.478
116.334	250.248
116.655	245.754
116.977	244.882
117.298	248.027
117.619	248.717
117.941	246.554
118.262	243.584
118.584	248.751
118.905	253.518
119.226	250.705
119.548	245.975
119.869	240.760
120.190	234.201
120.512	230.157
120.833	229.831
121.154	224.523
121.476	211.471
121.797	196.540
122.119	188.148
122.440	164.033
122.761	135.096
123.083	144.223
123.404	179.428
123.725	211.051
124.047	221.486
124.368	225.364
124.689	232.012
125.011	237.360
125.332	247.685
125.654	251.729
125.975	247.567
126.296	247.581
126.618	252.371
126.939	253.992
127.260	249.680
127.582	247.762
127.903	250.175
128.225	250.003
128.546	247.810
128.867	244.932
129.189	243.783
129.510	235.933
129.831	223.424
130.153	220.275
130.474	219.906
130.795	212.736
131.117	196.240
131.438	195.017
131.760	158.954
132.081	137.507
132.402	155.633
132.724	162.102
133.045	154.931
133.366	148.599
133.688	180.901
134.009	198.725
134.330	214.143
134.652	222.237
134.973	223.447
135.295	239.058
135.616	236.270
135.937	235.459
136.259	242.301
136.580	249.287
136.901	249.203
137.223	247.880
137.544	240.420
137.865	246.429
138.187	240.888
138.508	238.140
138.830	230.810
139.151	218.964
139.472	221.233
139.794	208.453
140.115	202.435
140.436	181.328
140.758	169.537
141.079	187.482
141.400	186.467
141.722	166.806
142.043	175.696
142.365	170.238
142.686	162.718
143.007	187.637
143.329	171.266
143.650	179.618
143.971	212.210
144.293	192.128
144.614	233.821
144.935	222.532
145.257	213.521
145.578	240.125
145.900	242.198
146.221	234.289
146.542	238.315
146.864	250.756
147.185	239.513
147.506	232.107
147.828	234.486
148.149	235.139
148.470	216.302
148.792	201.426
149.113	176.000
