Distance_(mm)	Gray_Value
0.000	184.000
0.347	172.030
0.695	207.908
1.042	158.967
1.389	206.313
1.736	172.224
2.084	158.776
2.431	136.525
2.778	97.973
3.125	186.202
3.473	100.322
3.820	139.340
4.167	110.461
4.515	145.012
4.862	161.757
5.209	179.741
5.556	173.768
5.904	187.917
6.251	204.242
6.598	194.313
6.945	217.602
7.293	234.188
7.640	235.094
7.987	235.992
8.334	242.633
8.682	242.877
9.029	235.388
9.376	229.733
9.724	235.759
10.071	236.638
10.418	221.742
10.765	223.351
11.113	212.695
11.460	214.890
11.807	187.438
12.154	183.466
12.502	195.296
12.849	180.419
13.196	187.654
13.544	161.862
13.891	154.503
14.238	136.208
14.585	147.646
14.933	160.088
15.280	182.908
15.627	208.371
15.974	211.808
16.322	209.566
16.669	228.034
17.016	237.627
17.364	245.406
17.711	245.145
18.058	248.796
18.405	252.564
18.753	252.571
19.100	249.640
19.447	246.074
19.794	244.339
20.142	244.863
20.489	238.333
20.836	243.459
21.184	245.245
21.531	238.087
21.878	232.922
22.225	224.836
22.573	213.243
22.920	203.165
23.267	179.498
23.614	181.697
23.962	148.348
24.309	135.942
24.656	155.569
25.003	120.286
25.351	154.617
25.698	222.388
26.045	226.774
26.393	229.943
26.740	241.199
27.087	244.034
27.434	244.919
27.782	249.032
28.129	253.071
28.476	252.779
28.823	249.571
29.171	247.333
29.518	247.477
29.865	249.593
30.213	250.745
30.560	252.268
30.907	253.426
31.254	250.529
31.602	249.413
31.949	254.723
32.296	252.401
32.643	247.844
32.991	239.811
33.338	229.639
33.685	205.971
34.033	190.176
34.380	210.438
34.727	221.405
35.074	228.677
35.422	228.682
35.769	231.306
36.116	237.568
36.463	243.078
36.811	247.902
37.158	250.854
37.505	249.643
37.852	249.387
38.200	250.660
38.547	251.167
38.894	252.556
39.242	252.759
39.589	254.081
39.936	254.075
40.283	254.683
40.631	254.445
40.978	254.767
41.325	254.665
41.672	254.095
42.020	253.982
42.367	253.729
42.714	250.642
43.062	244.281
43.409	250.003
43.756	239.188
44.103	241.972
44.451	228.523
44.798	195.328
45.145	199.239
45.492	222.379
45.840	235.451
46.187	237.615
46.534	245.206
46.882	252.101
47.229	253.688
47.576	251.792
47.923	251.812
48.271	254.509
48.618	251.352
48.965	249.478
49.312	250.247
49.660	251.482
50.007	253.061
50.354	254.289
50.701	255.000
51.049	254.448
51.396	251.805
51.743	253.687
52.091	255.000
52.438	254.899
52.785	253.675
53.132	250.821
53.480	252.600
53.827	254.745
54.174	253.929
54.521	251.138
54.869	232.502
55.216	224.551
55.563	241.939
55.911	246.694
56.258	253.973
56.605	251.943
56.952	255.000
57.300	255.000
57.647	255.000
57.994	255.000
58.341	255.000
58.689	253.892
59.036	252.672
59.383	252.316
59.731	254.197
60.078	253.033
60.425	253.011
60.772	250.986
61.120	250.990
61.467	250.403
61.814	249.210
62.161	248.497
62.509	249.617
62.856	249.496
63.203	250.322
63.550	250.946
63.898	252.738
64.245	252.082
64.592	253.159
64.940	253.407
65.287	250.020
65.634	251.078
65.981	252.568
66.329	254.569
66.676	254.177
67.023	254.851
67.370	252.609
67.718	252.280
68.065	251.417
68.412	251.004
68.760	251.783
69.107	252.000
69.454	253.619
69.801	254.000
70.149	254.798
70.496	254.208
70.843	253.626
71.190	253.163
71.538	253.000
71.885	253.000
72.232	253.000
72.580	253.000
72.927	253.000
73.274	253.000
73.621	253.000
73.969	253.000
74.316	253.000
74.663	253.000
75.010	253.000
75.358	253.000
75.705	253.000
76.052	253.000
76.400	253.000
76.747	253.000
77.094	253.000
77.441	253.000
77.789	253.000
78.136	253.000
78.483	253.000
78.830	253.000
79.178	253.643
79.525	254.000
79.872	254.469
80.219	254.583
80.567	254.365
80.914	254.147
81.261	253.929
81.609	253.497
81.956	251.782
82.303	251.687
82.650	251.637
82.998	250.008
83.345	249.163
83.692	248.831
84.039	249.253
84.387	249.733
84.734	251.937
85.081	253.926
85.429	254.608
85.776	255.000
86.123	254.443
86.470	252.881
86.818	250.609
87.165	249.391
87.512	252.000
87.859	254.609
88.207	254.368
88.554	254.000
88.901	253.554
89.249	253.024
89.596	252.215
89.943	250.949
90.290	251.278
90.638	252.482
90.985	252.070
91.332	251.300
91.679	251.190
92.027	251.081
92.374	250.944
92.721	250.726
93.068	250.502
93.416	250.710
93.763	250.929
94.110	251.147
94.458	251.244
94.805	251.750
95.152	252.333
95.499	252.023
95.847	249.942
96.194	246.172
96.541	246.213
96.888	244.758
97.236	242.963
97.583	243.202
97.930	246.828
98.278	251.706
98.625	253.250
98.972	254.282
99.319	254.557
99.667	255.000
100.014	254.429
100.361	253.560
100.708	255.000
101.056	254.798
101.403	253.838
101.750	253.512
102.098	255.000
102.445	255.000
102.792	255.000
103.139	254.619
103.487	252.450
103.834	251.076
104.181	254.515
104.528	253.009
104.876	253.182
105.223	249.048
105.570	252.364
105.917	246.294
106.265	246.769
106.612	238.401
106.959	244.111
107.307	226.952
107.654	191.144
108.001	165.571
108.348	218.531
108.696	243.728
109.043	247.443
109.390	232.672
109.737	250.362
110.085	248.294
110.432	247.619
110.779	250.536
111.127	253.937
111.474	254.702
111.821	251.896
112.168	252.612
112.516	254.046
112.863	254.503
113.210	253.815
113.557	252.983
113.905	253.488
114.252	254.996
114.599	254.858
114.947	251.669
115.294	248.547
115.641	249.607
115.988	244.905
116.336	243.448
116.683	242.333
117.030	235.700
117.377	226.087
117.725	222.024
118.072	219.388
118.419	211.397
118.767	167.352
119.114	206.025
119.461	210.446
119.808	225.320
120.156	231.578
120.503	234.744
120.850	237.689
121.197	247.473
121.545	248.880
121.892	251.296
122.239	250.856
122.586	248.023
122.934	247.516
123.281	249.019
123.628	252.096
123.976	247.917
124.323	246.577
124.670	246.830
125.017	247.245
125.365	248.186
125.712	248.599
126.059	250.554
126.406	250.565
126.754	247.622
127.101	238.685
127.448	249.455
127.796	231.522
128.143	214.201
128.490	217.255
128.837	203.322
129.185	163.056
129.532	138.908
129.879	154.535
130.226	206.654
130.574	215.262
130.921	232.593
131.268	225.000
131.616	241.836
131.963	243.796
132.310	249.415
132.657	246.983
133.005	243.756
133.352	241.544
133.699	243.199
134.046	244.972
134.394	246.563
134.741	244.889
135.088	244.191
135.435	249.159
135.783	248.982
136.130	245.296
136.477	246.495
136.825	249.933
137.172	249.550
137.519	245.857
137.866	226.474
138.214	220.452
138.561	206.599
138.908	202.356
139.255	194.388
139.603	180.375
139.950	141.013
140.297	130.813
140.645	135.783
140.992	159.310
141.339	180.872
141.686	195.571
142.034	205.241
142.381	209.059
142.728	214.747
143.075	215.004
143.423	220.869
143.770	231.131
144.117	235.300
144.465	236.794
144.812	237.018
145.159	239.193
145.506	241.312
145.854	240.583
146.201	240.407
146.548	237.534
146.895	232.452
147.243	234.271
147.590	240.639
147.937	239.737
148.285	233.661
148.632	235.154
148.979	230.918
149.326	204.152
149.674	192.423
150.021	202.531
150.368	188.081
150.715	161.363
151.063	146.800
151.410	139.670
151.757	134.519
152.104	143.432
152.452	165.518
152.799	204.874
153.146	188.719
153.494	192.066
153.841	206.018
154.188	210.767
154.535	222.673
154.883	224.534
155.230	216.979
155.577	233.407
155.924	241.923
156.272	241.051
156.619	234.710
156.966	245.259
157.314	240.500
157.661	236.960
158.008	233.089
158.355	226.918
158.703	216.731
159.050	216.459
159.397	217.921
159.744	207.878
160.092	201.232
160.439	200.271
160.786	183.057
161.133	168.533
161.481	178.013
161.828	181.352
162.175	183.764
162.523	176.270
162.870	137.829
163.217	124.044
163.564	172.604
163.912	171.822
164.259	170.912
164.606	171.533
164.953	187.083
165.301	175.259
165.648	194.072
165.995	215.455
166.343	204.711
166.690	223.204
167.037	237.658
167.384	216.523
167.732	223.542
168.079	229.807
168.426	225.074
168.773	231.448
169.121	219.669
169.468	217.128
169.815	216.509
170.163	216.706
170.510	215.333
170.857	206.058
171.204	181.231
171.552	145.036
171.899	137.272
172.246	179.398
172.593	171.303
172.941	154.456
173.288	156.128
173.635	163.336
173.983	163.023
174.330	139.932
174.677	172.443
175.024	150.000
