Distance_(mm)	Gray_Value
0.000	138.000
0.285	132.108
0.569	129.450
0.854	135.023
1.139	176.571
1.423	165.597
1.708	196.995
1.993	205.772
2.277	213.550
2.562	162.357
2.847	212.492
3.131	190.387
3.416	153.582
3.701	221.005
3.985	213.703
4.270	165.495
4.555	166.970
4.839	198.070
5.124	172.390
5.409	180.139
5.693	180.149
5.978	140.810
6.263	174.944
6.547	171.524
6.832	146.833
7.117	155.341
7.401	134.173
7.686	139.023
7.971	143.212
8.255	157.826
8.540	161.476
8.825	162.717
9.109	207.670
9.394	197.680
9.679	180.283
9.963	211.321
10.248	227.020
10.533	194.731
10.817	215.018
11.102	217.157
11.387	222.270
11.671	194.842
11.956	191.920
12.241	196.729
12.525	177.989
12.810	171.660
13.095	210.153
13.379	159.911
13.664	162.948
13.949	181.816
14.233	174.002
14.518	189.708
14.803	153.335
15.087	129.280
15.372	145.231
15.657	152.858
15.941	143.611
16.226	181.159
16.510	198.350
16.795	183.613
17.080	195.602
17.364	212.679
17.649	200.038
17.934	199.779
18.218	200.661
18.503	220.165
18.788	210.337
19.072	214.697
19.357	238.494
19.642	214.786
19.926	199.921
20.211	194.929
20.496	189.954
20.780	174.124
21.065	165.361
21.350	172.008
21.634	185.819
21.919	161.052
22.204	143.732
22.488	153.926
22.773	143.118
23.058	140.642
23.342	155.195
23.627	154.694
23.912	160.976
24.196	191.272
24.481	202.814
24.766	208.552
25.050	205.904
25.335	216.449
25.620	225.663
25.904	210.648
26.189	228.579
26.474	253.411
26.758	235.973
27.043	213.415
27.328	223.619
27.612	219.920
27.897	217.571
28.182	221.167
28.466	218.169
28.751	228.918
29.036	218.709
29.320	190.719
29.605	201.288
29.890	196.200
30.174	177.697
30.459	198.206
30.744	185.778
31.028	167.440
31.313	177.303
31.598	187.189
31.882	196.075
32.167	201.607
32.452	225.802
32.736	226.203
33.021	235.292
33.306	239.428
33.590	242.389
33.875	232.629
34.160	225.998
34.444	234.516
34.729	240.295
35.014	232.281
35.298	232.594
35.583	239.854
35.868	225.678
36.152	205.445
36.437	198.844
36.722	225.469
37.006	196.412
37.291	190.099
37.576	184.008
37.860	169.659
38.145	177.224
38.430	175.884
38.714	191.209
38.999	197.463
39.284	192.814
39.568	215.483
39.853	239.108
40.138	221.369
40.422	232.495
40.707	241.798
40.992	248.463
41.276	249.649
41.561	251.692
41.846	253.290
42.130	244.675
42.415	240.796
42.700	223.786
42.984	247.387
43.269	246.641
43.554	238.903
43.838	238.057
44.123	234.162
44.408	233.543
44.692	213.384
44.977	233.557
45.262	219.968
45.546	178.736
45.831	221.632
46.116	227.725
46.400	175.193
46.685	207.373
46.970	235.598
47.254	212.964
47.539	209.291
47.823	233.011
48.108	252.851
48.393	239.269
48.677	245.015
48.962	251.102
49.247	251.339
49.531	253.304
49.816	240.958
50.101	252.115
50.385	242.976
50.670	252.772
50.955	246.229
51.239	249.981
51.524	249.541
51.809	244.006
52.093	245.587
52.378	238.020
52.663	237.997
52.947	223.615
53.232	223.695
53.517	206.024
53.801	195.308
54.086	199.088
54.371	210.473
54.655	229.488
54.940	216.792
55.225	235.418
55.509	239.236
55.794	244.172
56.079	252.760
56.363	248.434
56.648	247.215
56.933	241.745
57.217	243.562
57.502	247.750
57.787	250.525
58.071	253.368
58.356	254.815
58.641	253.639
58.925	253.282
59.210	252.322
59.495	242.886
59.779	237.920
60.064	246.260
60.349	245.942
60.633	242.005
60.918	239.293
61.203	231.571
61.487	227.457
61.772	230.357
62.057	227.800
62.341	223.816
62.626	229.327
62.911	234.840
63.195	236.609
63.480	239.708
63.765	242.197
64.049	249.548
64.334	253.874
64.619	249.915
64.903	249.972
65.188	252.316
65.473	251.672
65.757	252.015
66.042	253.738
66.327	254.842
66.611	255.000
66.896	253.955
67.181	252.588
67.465	253.524
67.750	248.041
68.035	239.116
68.319	241.977
68.604	246.726
68.889	241.502
69.173	236.676
69.458	242.218
69.743	239.059
70.027	234.084
70.312	240.391
70.597	244.635
70.881	240.862
71.166	245.102
71.451	246.793
71.735	244.293
72.020	254.973
72.305	253.143
72.589	251.183
72.874	252.548
73.159	254.126
73.443	252.849
73.728	250.355
74.013	247.358
74.297	248.412
74.582	251.256
74.867	252.638
75.151	250.192
75.436	255.000
75.721	254.157
76.005	252.824
76.290	253.303
76.575	247.858
76.859	243.796
77.144	229.485
77.429	226.530
77.713	223.965
77.998	218.766
78.283	232.571
78.567	247.707
78.852	254.632
79.136	254.608
79.421	253.198
79.706	255.000
79.990	254.469
80.275	252.701
80.560	255.000
80.844	254.289
81.129	251.908
81.414	254.003
81.698	250.278
81.983	254.496
82.268	254.877
82.552	254.654
82.837	255.000
83.122	255.000
83.406	255.000
83.691	255.000
83.976	255.000
84.260	255.000
84.545	255.000
84.830	254.983
85.114	254.541
85.399	249.623
85.684	242.248
85.968	244.102
86.253	253.530
86.538	255.000
86.822	255.000
87.107	255.000
87.392	255.000
87.676	255.000
87.961	255.000
88.246	254.947
88.530	254.682
88.815	254.467
89.100	253.889
89.384	252.550
89.669	251.449
89.954	251.013
90.238	250.239
90.523	251.039
90.808	250.999
91.092	250.889
91.377	251.700
91.662	252.279
91.946	253.352
92.231	253.546
92.516	253.340
92.800	252.658
93.085	253.314
93.370	254.743
93.654	254.931
93.939	254.653
94.224	254.415
94.508	253.861
94.793	253.054
95.078	253.960
95.362	254.438
95.647	254.796
95.932	254.988
96.216	254.898
96.501	252.945
96.786	251.441
97.070	250.188
97.355	250.422
97.640	251.212
97.924	251.571
98.209	252.805
98.494	253.872
98.778	254.002
99.063	254.105
99.348	254.212
99.632	253.580
99.917	253.425
100.202	253.532
100.486	253.378
100.771	254.020
101.056	254.554
101.340	254.874
101.625	255.000
101.910	252.940
102.194	251.320
102.479	251.415
102.764	251.837
103.048	252.266
103.333	252.756
103.618	253.000
103.902	253.000
104.187	252.414
104.472	252.808
104.756	253.237
105.041	253.556
105.326	253.901
105.610	254.381
105.895	254.664
106.180	254.906
106.464	255.000
106.749	254.433
107.034	252.769
107.318	251.239
107.603	250.696
107.888	250.590
108.172	249.394
108.457	248.509
108.742	249.937
109.026	252.489
109.311	254.491
109.596	255.000
109.880	255.000
110.165	255.000
110.450	254.635
110.734	253.792
111.019	253.617
111.303	253.947
111.588	254.204
111.873	253.265
112.157	252.029
112.442	253.140
112.727	254.223
113.011	253.460
113.296	253.292
113.581	254.543
113.865	254.649
114.150	254.756
114.435	254.752
114.719	254.524
115.004	252.960
115.289	251.957
115.573	250.901
115.858	251.127
116.143	253.820
116.427	253.407
116.712	253.512
116.997	252.685
117.281	252.444
117.566	254.645
