Distance_(mm)	Gray_Value
0.000	171.000
0.352	167.911
0.704	157.516
1.056	160.608
1.408	172.151
1.760	152.839
2.112	170.327
2.464	184.613
2.816	175.154
3.168	189.461
3.520	203.888
3.872	187.883
4.224	177.305
4.576	224.212
4.928	178.483
5.280	203.035
5.632	194.318
5.984	172.952
6.336	208.171
6.688	168.964
7.040	160.572
7.392	160.351
7.744	192.564
8.096	174.097
8.448	147.252
8.800	158.550
9.152	151.393
9.504	150.345
9.856	163.008
10.208	161.688
10.559	189.328
10.911	165.820
11.263	171.450
11.615	172.084
11.967	157.998
12.319	157.596
12.671	171.547
13.023	198.805
13.375	179.054
13.727	172.739
14.079	194.362
14.431	171.169
14.783	161.643
15.135	194.991
15.487	207.852
15.839	201.979
16.191	192.618
16.543	197.641
16.895	195.502
17.247	189.741
17.599	203.363
17.951	178.931
18.303	161.139
18.655	156.752
19.007	146.619
19.359	148.186
19.711	161.577
20.063	157.056
20.415	172.519
20.767	160.955
21.119	145.020
21.471	157.943
21.823	185.035
22.175	185.584
22.527	168.644
22.879	168.764
23.231	180.308
23.583	185.220
23.935	191.580
24.287	201.575
24.639	201.307
24.991	201.015
25.343	200.333
25.695	202.465
26.047	194.639
26.399	184.836
26.751	189.764
27.103	177.948
27.455	195.376
27.807	211.526
28.159	193.117
28.511	193.420
28.863	195.816
29.215	188.645
29.567	176.038
29.919	168.535
30.271	186.956
30.623	182.755
30.975	163.517
31.327	159.062
31.678	176.576
32.030	168.942
32.382	157.455
32.734	166.090
33.086	173.422
33.438	200.076
33.790	207.548
34.142	197.115
34.494	193.451
34.846	198.806
35.198	211.360
35.550	195.891
35.902	201.325
36.254	233.437
36.606	239.639
36.958	224.199
37.310	215.255
37.662	200.630
38.014	205.099
38.366	192.183
38.718	210.400
39.070	229.946
39.422	209.866
39.774	194.170
40.126	172.222
40.478	174.748
40.830	192.057
41.182	180.624
41.534	167.641
41.886	168.503
42.238	159.191
42.590	176.087
42.942	188.377
43.294	169.081
43.646	167.773
43.998	188.342
44.350	181.452
44.702	176.346
45.054	202.051
45.406	198.363
45.758	191.127
46.110	221.164
46.462	232.092
46.814	210.533
47.166	198.122
47.518	194.153
47.870	196.131
48.222	212.347
48.574	223.151
48.926	223.324
49.278	219.688
49.630	215.970
49.982	205.942
50.334	216.711
50.686	240.268
51.038	217.296
51.390	189.560
51.742	181.988
52.094	197.271
52.446	181.300
52.797	190.435
53.149	177.532
53.501	183.271
53.853	187.809
54.205	177.311
54.557	186.776
54.909	179.672
55.261	186.197
55.613	210.079
55.965	200.286
56.317	221.961
56.669	206.388
57.021	214.287
57.373	215.354
57.725	187.702
58.077	229.104
58.429	221.425
58.781	201.470
59.133	222.662
59.485	236.251
59.837	226.935
60.189	224.777
60.541	231.943
60.893	231.721
61.245	234.047
61.597	240.401
61.949	242.375
62.301	235.975
62.653	222.772
63.005	208.191
63.357	222.631
63.709	225.443
64.061	216.633
64.413	214.836
64.765	219.756
65.117	218.199
65.469	191.365
65.821	245.738
66.173	224.854
66.525	243.118
66.877	249.273
67.229	235.750
67.581	221.973
67.933	224.855
68.285	238.295
68.637	243.754
68.989	230.382
69.341	243.796
69.693	250.164
70.045	245.145
70.397	241.335
70.749	243.237
71.101	242.985
71.453	241.950
71.805	245.990
72.157	229.807
72.509	224.643
72.861	219.056
73.213	224.414
73.565	227.529
73.916	221.186
74.268	228.748
74.620	218.880
74.972	229.509
75.324	224.337
75.676	225.332
76.028	230.788
76.380	233.454
76.732	244.542
77.084	240.529
77.436	248.971
77.788	251.975
78.140	254.612
78.492	255.000
78.844	255.000
79.196	255.000
79.548	254.887
79.900	253.668
80.252	253.008
80.604	253.041
80.956	252.231
81.308	252.670
81.660	251.982
82.012	251.513
82.364	251.456
82.716	252.344
83.068	253.024
83.420	253.849
83.772	253.000
84.124	253.064
84.476	253.000
84.828	253.003
85.180	253.355
85.532	253.454
85.884	254.450
86.236	254.355
86.588	253.269
86.940	253.162
87.292	253.066
87.644	252.969
87.996	253.722
88.348	253.552
88.700	253.050
89.052	252.749
89.404	252.951
89.756	252.780
90.108	252.587
90.460	252.394
90.812	253.142
91.164	253.008
91.516	254.031
91.868	254.189
92.220	254.285
92.572	254.382
92.924	254.001
93.276	254.150
93.628	254.343
93.980	254.326
94.332	247.764
94.684	247.895
95.035	251.743
95.387	254.713
95.739	255.000
96.091	253.511
96.443	249.226
96.795	247.840
97.147	235.754
97.499	239.883
97.851	227.031
98.203	229.377
98.555	227.698
98.907	220.481
99.259	224.274
99.611	243.704
99.963	245.896
100.315	246.725
100.667	246.426
101.019	241.379
101.371	238.176
101.723	243.131
102.075	250.494
102.427	254.129
102.779	243.690
103.131	243.311
103.483	244.183
103.835	244.504
104.187	242.432
104.539	241.240
104.891	240.217
105.243	241.343
105.595	241.114
105.947	239.901
106.299	228.197
106.651	224.325
107.003	232.552
107.355	228.300
107.707	231.295
108.059	243.532
108.411	243.775
108.763	223.300
109.115	204.592
109.467	195.674
109.819	196.093
110.171	199.680
110.523	206.969
110.875	202.818
111.227	221.360
111.579	222.503
111.931	209.128
112.283	216.312
112.635	238.353
112.987	245.760
113.339	239.796
113.691	227.855
114.043	230.986
114.395	236.210
114.747	238.062
115.099	240.421
115.451	240.325
115.803	240.191
116.154	243.086
116.506	243.557
116.858	241.773
117.210	238.230
117.562	230.293
117.914	209.665
118.266	206.646
118.618	214.935
118.970	214.851
119.322	226.374
119.674	226.817
120.026	238.102
120.378	220.408
120.730	207.144
121.082	222.135
121.434	213.842
121.786	221.413
122.138	228.345
122.490	218.592
122.842	226.896
123.194	228.516
123.546	238.180
123.898	246.436
124.250	231.717
124.602	235.347
124.954	248.223
125.306	241.199
125.658	237.852
126.010	239.982
126.362	242.209
126.714	244.520
127.066	240.500
127.418	239.873
127.770	238.080
128.122	241.052
128.474	230.179
128.826	198.066
129.178	207.755
129.530	233.227
129.882	227.743
130.234	214.280
130.586	197.819
130.938	191.327
131.290	204.863
131.642	218.284
131.994	210.286
132.346	209.915
132.698	213.969
133.050	210.691
133.402	212.886
133.754	214.382
134.106	220.400
134.458	231.524
134.810	247.783
135.162	244.625
135.514	230.025
135.866	225.719
136.218	233.276
136.570	225.881
136.922	219.011
137.273	227.096
137.625	216.961
137.977	231.896
138.329	243.604
138.681	228.431
139.033	212.787
139.385	215.295
139.737	225.856
140.089	208.076
140.441	195.344
140.793	207.421
141.145	227.504
141.497	227.170
141.849	215.683
142.201	197.622
142.553	184.835
142.905	208.206
143.257	209.294
143.609	199.294
143.961	196.495
144.313	180.941
144.665	203.855
145.017	217.888
145.369	195.877
145.721	191.400
146.073	195.616
146.425	201.319
146.777	222.080
147.129	216.929
147.481	229.272
147.833	204.716
148.185	214.023
148.537	233.676
148.889	233.343
149.241	236.050
149.593	196.448
149.945	208.392
150.297	196.702
150.649	187.706
151.001	183.324
151.353	207.607
151.705	200.894
152.057	224.994
152.409	214.160
152.761	180.315
153.113	174.270
153.465	177.835
153.817	168.612
154.169	165.696
154.521	188.023
154.873	189.540
155.225	184.120
155.577	201.374
155.929	204.211
156.281	201.821
156.633	223.532
156.985	200.856
157.337	222.663
157.689	237.918
158.041	222.313
158.392	215.147
158.744	227.460
159.096	216.194
159.448	206.496
159.800	216.432
160.152	212.173
160.504	192.217
160.856	189.642
161.208	200.152
161.560	188.306
161.912	191.759
162.264	193.914
162.616	186.518
162.968	192.477
163.320	190.304
163.672	187.332
164.024	208.538
164.376	201.778
164.728	194.585
165.080	170.747
165.432	173.021
165.784	167.635
166.136	182.695
166.488	172.452
166.840	180.910
167.192	169.176
167.544	191.372
167.896	191.952
168.248	206.940
168.600	202.620
168.952	192.378
169.304	185.799
169.656	186.191
170.008	188.572
170.360	193.658
170.712	208.486
171.064	213.064
171.416	214.000
