Distance_(mm)	Gray_Value
0.000	201.000
0.382	183.885
0.764	177.236
1.146	147.727
1.528	178.582
1.910	145.491
2.292	183.424
2.674	164.459
3.055	185.937
3.437	157.711
3.819	166.220
4.201	179.541
4.583	195.821
4.965	207.471
5.347	226.825
5.729	221.555
6.111	231.206
6.493	217.145
6.875	228.692
7.257	231.910
7.639	223.857
8.021	228.018
8.403	204.346
8.785	212.542
9.166	192.582
9.548	181.790
9.930	194.417
10.312	194.819
10.694	170.004
11.076	197.050
11.458	156.880
11.840	164.458
12.222	156.549
12.604	179.608
12.986	185.893
13.368	202.783
13.750	217.037
14.132	235.024
14.514	236.934
14.895	246.997
15.277	245.983
15.659	251.569
16.041	252.604
16.423	246.941
16.805	248.119
17.187	243.807
17.569	242.810
17.951	246.352
18.333	241.992
18.715	236.223
19.097	224.096
19.479	226.176
19.861	209.283
20.243	207.742
20.624	200.585
21.006	187.734
21.388	189.705
21.770	197.223
22.152	218.823
22.534	238.993
22.916	241.571
23.298	244.230
23.680	251.016
24.062	248.120
24.444	246.740
24.826	250.015
25.208	253.003
25.590	254.000
25.972	254.112
26.354	252.383
26.735	244.961
27.117	246.334
27.499	246.429
27.881	249.912
28.263	247.594
28.645	243.807
29.027	249.790
29.409	246.582
29.791	240.783
30.173	216.679
30.555	200.541
30.937	216.219
31.319	229.142
31.701	231.025
32.083	236.356
32.464	246.038
32.846	252.704
33.228	254.866
33.610	250.081
33.992	250.116
34.374	252.993
34.756	252.847
35.138	252.070
35.520	249.504
35.902	251.607
36.284	253.451
36.666	253.659
37.048	255.000
37.430	254.624
37.812	251.161
38.194	245.098
38.575	242.290
38.957	240.143
39.339	235.192
39.721	230.248
40.103	228.568
40.485	233.777
40.867	241.312
41.249	240.136
41.631	246.583
42.013	252.266
42.395	250.459
42.777	254.191
43.159	253.950
43.541	255.000
43.923	255.000
44.304	255.000
44.686	255.000
45.068	254.715
45.450	254.381
45.832	254.635
46.214	254.192
46.596	254.841
46.978	255.000
47.360	254.691
47.742	254.141
48.124	254.554
48.506	255.000
48.888	255.000
49.270	255.000
49.652	254.974
50.033	254.963
50.415	253.955
50.797	252.698
51.179	253.945
51.561	250.819
51.943	246.923
52.325	246.437
52.707	248.313
53.089	249.980
53.471	251.078
53.853	251.678
54.235	253.240
54.617	253.539
54.999	254.120
55.381	253.919
55.763	253.719
56.144	253.786
56.526	254.705
56.908	253.097
57.290	252.916
57.672	252.897
58.054	253.758
58.436	253.463
58.818	252.364
59.200	252.086
59.582	252.287
59.964	252.487
60.346	252.651
60.728	252.333
61.110	249.178
61.492	250.050
61.873	254.245
62.255	254.406
62.637	255.000
63.019	255.000
63.401	255.000
63.783	254.913
64.165	253.793
64.547	252.883
64.929	251.045
65.311	251.517
65.693	250.588
66.075	252.327
66.457	252.710
66.839	254.549
67.221	254.656
67.603	255.000
67.984	255.000
68.366	255.000
68.748	255.000
69.130	254.851
69.512	254.997
69.894	253.727
70.276	254.972
70.658	253.161
71.040	254.939
71.422	255.000
71.804	255.000
72.186	254.910
72.568	255.000
72.950	253.415
73.332	252.812
73.713	248.878
74.095	251.548
74.477	252.326
74.859	253.555
75.241	254.020
75.623	254.161
76.005	254.812
76.387	254.016
76.769	254.843
77.151	249.664
77.533	244.061
77.915	245.390
78.297	241.661
78.679	242.998
79.061	233.688
79.442	231.124
79.824	239.156
80.206	245.896
80.588	247.975
80.970	245.726
81.352	243.351
81.734	247.422
82.116	252.132
82.498	251.537
82.880	252.014
83.262	246.149
83.644	245.699
84.026	252.710
84.408	254.206
84.790	252.463
85.172	252.958
85.553	250.498
85.935	253.891
86.317	255.000
86.699	245.479
87.081	240.795
87.463	243.191
87.845	228.033
88.227	230.533
88.609	227.002
88.991	227.310
89.373	222.632
89.755	234.251
90.137	244.547
90.519	239.466
90.901	246.418
91.282	247.432
91.664	247.965
92.046	253.116
92.428	252.347
92.810	248.011
93.192	249.395
93.574	250.812
93.956	248.480
94.338	245.446
94.720	242.162
95.102	240.184
95.484	243.420
95.866	244.821
96.248	242.740
96.630	238.237
97.012	236.185
97.393	232.500
97.775	232.086
98.157	219.788
98.539	205.175
98.921	199.550
99.303	206.189
99.685	219.647
100.067	222.315
100.449	220.573
100.831	226.971
101.213	228.669
101.595	231.126
101.977	236.075
102.359	242.737
102.741	244.804
103.122	242.381
103.504	242.310
103.886	243.586
104.268	243.724
104.650	241.465
105.032	240.602
105.414	240.973
105.796	239.270
106.178	236.138
106.560	236.265
106.942	233.889
107.324	225.608
107.706	208.698
108.088	192.059
108.470	184.724
108.852	183.253
109.233	183.640
109.615	179.545
109.997	204.122
110.379	220.136
110.761	221.176
111.143	229.856
111.525	237.520
111.907	235.066
112.289	235.727
112.671	242.848
113.053	247.226
113.435	249.192
113.817	247.490
114.199	245.585
114.581	249.623
114.962	240.311
115.344	242.138
115.726	243.393
116.108	232.727
116.490	222.453
116.872	220.238
117.254	205.606
117.636	193.770
118.018	181.239
118.400	187.331
118.782	183.747
119.164	182.016
119.546	179.157
119.928	186.726
120.310	183.618
120.691	179.765
121.073	192.141
121.455	202.697
121.837	199.281
122.219	204.957
122.601	227.868
122.983	228.628
123.365	227.367
123.747	227.595
124.129	233.640
124.511	243.376
124.893	241.658
125.275	236.424
125.657	238.166
126.039	229.593
126.421	227.649
126.802	226.440
127.184	223.942
127.566	199.958
127.948	198.910
128.330	209.081
128.712	173.409
129.094	180.867
129.476	166.332
129.858	144.296
130.240	170.340
130.622	187.689
131.004	196.109
131.386	207.927
131.768	205.618
132.150	200.051
132.531	210.858
132.913	217.471
133.295	213.948
133.677	214.720
134.059	224.004
134.441	231.920
134.823	223.565
135.205	221.354
135.587	215.790
135.969	206.771
136.351	212.023
136.733	215.686
137.115	197.000
